Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
657,0.0,2349.92,36,18.4,11,ASD-COC-GFL005-AHU107,34.22,NOT WORKING,2348.816300000003,52.0,NOT WORKING,2349.92
187,0.0,8052.599999999999,8,12.583333333333334,9,ASD-COB-GFL017-AHU089,35.41,DAMAGED,8052.545999999986,6.0,NOT WORKING,8052.599999999999
0,0.0,0.0,2,20.83333333333333,1,ASD-COC-GFL002-AHU100,76.37,DAMAGED,0.0,5.0,DAMAGED,0.0
62,0.0,0.0,4,7.149122807017544,3,ASD-COC-GFL002-AHU118,46.29,DIRTY,0.0,59.0,DIRTY,0.0
85,0.0,0.0,10,9.534883720930232,4,LSD-VCN-FFL-AHU198,51.07,DIRTY,0.0,9.0,DIRTY,0.0
195,0.0,454.0,4,26.75,7,ASD-COC-TFL003-AHU137,33.09,WARNING,454.1761,42.0,WARNING,454.0
273,0.0,42.0,6,20.36842105263158,11,ASD-COC-GFL001-AHU098,37.31,DAMAGED,42.0444,39.0,NOT WORKING,42.0
323,0.0,3438.32,18,19.25,11,ASD-MTB-FOF024-AHU197,42.82,DAMAGED,3437.8024000000023,28.0,DAMAGED,3438.32
468,0.0,9438.34,26,20.214285714285715,4,ASD-MTB-FOF009-AHU061,61.62,WARNING,9433.028099999989,0.0,WARNING,9438.34
0,0.0,0.0,2,29.57692307692308,1,ASD-COC-GFL005-AHU106,56.85,DAMAGED,0.0,46.0,DAMAGED,0.0
315,0.0,17636.059999999998,34,13.37037037037037,12,ASD-MTB-FOF021-AHU050,60.82,NOT WORKING,17634.892400000037,72.0,DAMAGED,17636.059999999998
108,0.0,0.0,8,27.5,6,ASD-COA-APR-AHU078,42.75,NOT WORKING,0.0,124.0,NOT WORKING,0.0
591,0.0,42846.74,112,5.768115942028985,9,ASD-COC-GFL008-AHU116,31.22,DAMAGED,42845.9572000001,5.0,DAMAGED,42846.74
0,0.0,0.0,2,21.08823529411765,1,ASD-COC-GFL004-AHU105,33.63,DAMAGED,0.0,27.0,DIRTY,0.0
315,0.0,42402.8,56,4.746753246753247,1,ASD-MTB-GFL06A-AHU169,37.41,DAMAGED,42402.978799999924,3.0,DIRTY,42402.8
682,0.0,3304.32,36,20.33333333333333,11,ASD-COC-GFL008-AHU110,30.04,DAMAGED,3304.2192000000055,56.0,DAMAGED,3304.32
0,0.0,12253.74,12,17.772727272727273,2,ASD-MTB-FOF021-AHU052,78.15,DIRTY,12254.479900000002,160.0,DIRTY,12253.74
681,0.0,29964.48,31,20.38888888888889,1,ASD-MTB-FOF07A-AHU180,31.04,DAMAGED,29950.386300000002,0.0,DAMAGED,29964.48
120,0.0,8750.89,6,26.25,9,ASD-MTB-FOF024-AHU053,70.69,WARNING,8742.50930000001,0.0,WARNING,8750.89
449,0.0,1905.36,16,29.57692307692308,4,ASD-COC-GFL005-AHU106,41.15,DAMAGED,1905.2855999999958,49.0,BLOCKED,1905.36
54,0.0,1009.08,10,13.148148148148149,4,ASD-COC-GFL005-AHU114,34.66,DAMAGED,1007.2376999999999,130.0,DAMAGED,1009.08
160,0.0,992.4,10,20.61111111111111,8,ASD-COC-TFL008-AHU152,30.89,DIRTY,992.3232999999987,92.0,DAMAGED,992.4
0,0.0,0.0,2,20.33333333333333,1,ASD-COC-GFL008-AHU110,53.89,NOISY,0.0,24.0,NOT WORKING,0.0
