Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
230,37.0,6502.9400000000005,31,5.642857142857143,8,ASD-COA-GFL001-AHU065,0.0,DIRTY,6502.858199999991,0.0,DIRTY,6502.9400000000005
664,3.0,16938.34,187,1.9230769230769231,11,ASD-MTB-FOF011-AHU043,0.0,NOT WORKING,16938.340000000026,0.0,NOT WORKING,16938.34
464,6.0,3199.42,71,1.9230769230769231,4,ASD-MTB-FOF011-AHU043,0.0,NOT WORKING,3199.420000000002,0.0,NOT WORKING,3199.42
764,0.0,24203.06,282,1.9230769230769231,2,ASD-MTB-FOF011-AHU043,0.06,NO CONNECTION,24203.060000000045,0.0,NO CONNECTION,24203.06
624,1.0,50729.64,143,3.0992063492063493,9,ASD-MTB-FOF010-AHU042,0.0,NOT WORKING,50729.63999999997,0.0,NOT WORKING,50729.64
111,0.0,20249.77,33,7.819148936170213,4,ASD-MTB-FOF010-AHU036,3.08,DIRTY,20241.23409999999,0.0,DIRTY,20249.77
599,0.0,41103.58,83,6.906976744186046,2,ASD-COB-GFL017-AHU085,0.03,DIRTY,41098.45999999999,0.0,DIRTY,41103.58
486,0.0,48691.87,42,11.452380952380953,5,ASD-MTB-FOF008-AHU028,11.27,DIRTY,48671.204900000004,0.0,DIRTY,48691.87
227,0.0,7004.52,24,7.481481481481482,8,ASD-COC-GFL003-AHU120,12.58,WARNING,7008.002000000008,0.0,WARNING,7004.52
41,0.0,27464.26,23,5.083333333333333,2,ASD-MTB-FOF009-AHU031,13.03,DAMAGED,27480.498399999968,0.0,DAMAGED,27464.26
599,0.0,37727.54,73,6.906976744186046,2,ASD-COB-GFL017-AHU085,0.69,DIRTY,37711.64900000002,0.0,DIRTY,37727.54
487,191.0,2281.28,17,9.36904761904762,6,ASD-COB-AM5-AHU01,0.0,DAMAGED,2284.388600000004,0.0,DAMAGED,2281.28
785,6.0,51205.88,175,4.284090909090909,3,ASD-MTB-FOF011-AHU041,0.0,NOT WORKING,51162.80519999994,0.0,WARNING,51205.88
113,19.0,12464.92,47,2.9299065420560746,5,ASD-MTB-GFL007-AHU003,0.0,NOT WORKING,12461.049899999993,0.0,NOT WORKING,12464.92
579,4.0,53460.16,193,3.05078125,8,ASD-MTB-FOF010-AHU040,0.0,NOT WORKING,53460.160000000076,0.0,NOT WORKING,53460.16
0,0.0,0.0,2,8.894736842105264,1,ASD-COB-GFL18A-AHU192,28.75,DIRTY,0.0,9.0,DAMAGED,0.0
508,0.0,0.0,102,3.644329896907216,7,ASD-COA-SFL005-AHU076,1.04,NOT WORKING,0.0,0.0,NOT WORKING,0.0
691,10.0,50729.64,163,3.0992063492063493,11,ASD-MTB-FOF010-AHU042,0.0,NOT WORKING,50730.02249999997,0.0,DAMAGED,50729.64
320,30.0,12868.92,17,13.88095238095238,12,ASD-MTB-FOF024-AHU039,0.0,DAMAGED,12869.944699999995,0.0,WARNING,12868.92
